player_name	position	team	median_rank	mean_rank	position_rank
Sebastian Janikowski	K	OAK	218.5	216.875	10
Green Bay Packers	D/ST	Green Bay Packers	219.0	220.07272727272726	17
Curtis Samuel	WR	CAR	219.5	219.2258064516129	80
Brandon McManus	K	DEN	220.5	218.83333333333334	11
Will Lutz	K	NO	224.0	219.1764705882353	12
Chris Ivory	RB	JAC	227.0	219.12244897959184	73
Dustin Hopkins	K	WAS	228.5	218.58333333333334	13
Chris Hogan	WR	NE	228.5	221.07142857142858	81
Brandon LaFell	WR	CIN	228.5	224.625	82
ArDarius Stewart	WR	NYJ	229.5	226.76190476190476	83
Los Angeles Chargers	D/ST	Los Angeles Chargers	230.0	222.5744680851064	18
Graham Gano	K	CAR	230.5	226.3125	14
Tyler Boyd	WR	CIN	232.0	225.66037735849056	84
Eli Rogers	WR	PIT	232.0	229.64583333333334	85
Terrance Williams	WR	DAL	234.0	226.04651162790697	86
Chris Boswell	K	PIT	235.0	226.67924528301887	15
Mike Glennon	QB	CHI	236.0	235.48888888888888	30
Travis Benjamin	WR	LAC	236.5	234.64285714285714	87
Zach Zenner	RB	DET	237.5	231.3181818181818	74
Laquon Treadwell	WR	MIN	242.0	235.51020408163265	88
